0,INGLESIDE ROAD & E PRINCESS ANNE ROAD
1,MONTICELLO AVENUE & E 21ST STREET
2,MONTICELLO AVENUE & E 22ND STREET
3,FISHERMANS ROAD & CHESAPEAKE BOULEVARD
4,E BRAMBLETON AVENUE & CAMPOSTELLA ROAD
5,TIDEWATER DRIVE & NORVIEW AVENUE
6,MONTICELLO AVENUE & E 21ST STREET
7,SHIRLEY AVENUE & LLEWELLYN AVENUE
8,MAGNOLIA AVENUE & HAMPTON BOULEVARD
9,MADISON AVENUE & CORPREW AVENUE
10,MONTICELLO AVENUE & E VIRGINIA BEACH BOULEVARD
11,W OLNEY ROAD & BOUSH STREET
12,INGLESIDE ROAD & E PRINCESS ANNE ROAD
13,W VIRGINIA BEACH BOULEVARD & W OLNEY ROAD
14,MONTICELLO AVENUE & E VIRGINIA BEACH BOULEVARD
15,MONTICELLO AVENUE & E PRINCESS ANNE ROAD
16,W OLNEY ROAD & BOUSH STREET
17,MONTICELLO AVENUE & E VIRGINIA BEACH BOULEVARD
18,W OLNEY ROAD & BOUSH STREET
19,W OLNEY ROAD & BOUSH STREET
20,W VIRGINIA BEACH BOULEVARD & LLEWELLYN AVENUE
21,W OLNEY ROAD & BOUSH STREET
22,MAGNOLIA AVENUE & HAMPTON BOULEVARD
23,MONTICELLO AVENUE & E VIRGINIA BEACH BOULEVARD
24,HANOVER AVENUE & HAMPTON BOULEVARD
25,INGLESIDE ROAD & E PRINCESS ANNE ROAD
26,INGLESIDE ROAD & E PRINCESS ANNE ROAD
27,W OLNEY ROAD & BOUSH STREET
28,W OLNEY ROAD & BOUSH STREET
29,W OLNEY ROAD & DUKE STREET
30,TIDEWATER DRIVE & E VIRGINIA BEACH BOULEVARD
31,W PRINCESS ANNE ROAD & COLONIAL AVENUE
32,W PRINCESS ANNE ROAD & HAMPTON BOULEVARD
33,W OLNEY ROAD & BOUSH STREET
34,TIDEWATER DRIVE & E VIRGINIA BEACH BOULEVARD
35,E PRINCESS ANNE ROAD & ARMISTEAD AVENUE
36,TIDEWATER DRIVE & E VIRGINIA BEACH BOULEVARD
37,TIDEWATER DRIVE & I-264E HIGHWAY
38,PEMBROKE AVENUE & MOWBRAY ARCH
39,W OLNEY ROAD & MOWBRAY ARCH
40,W OLNEY ROAD & BOUSH STREET
41,TIDEWATER DRIVE & E VIRGINIA BEACH BOULEVARD
42,TIDEWATER DRIVE & E VIRGINIA BEACH BOULEVARD
43,FORT WORTH AVENUE & E LITTLE CREEK ROAD
44,E PRINCESS ANNE ROAD & ARMISTEAD AVENUE
45,TIDEWATER DRIVE & E VIRGINIA BEACH BOULEVARD
46,COLONIAL AVENUE & 35TH STREET
47,MAGNOLIA AVENUE & HAMPTON BOULEVARD
48,W OLNEY ROAD & DUKE STREET
